"","target_id","sample","est_counts","tpm","eff_len","len"
"1","NGO0001","SQ1",7924.47705821584,215.511691922593,1507.99998855324,1557
"2","NGO0001","SQ2",9173.38093736372,249.745742597573,1507.99998855324,1557
"3","NGO0001","SQ3",7832.59684579603,213.037304781281,1507.99998855324,1557
"4","NGO0001","SQ4",9667.63312507652,262.841715493866,1507.99998855324,1557
"5","NGO0001","SQ5",7221.23698998003,196.267081347027,1507.99998855324,1557
"6","NGO0001","SQ6",11033.4438367826,299.783536237175,1507.99998855324,1557
"7","NGO0002","SQ1",5905.1748707735,229.552417206897,1054.99998855324,1104
"8","NGO0002","SQ2",6461.32071662455,251.442593007144,1054.99998855324,1104
"9","NGO0002","SQ3",5191.53929985071,201.834273107574,1054.99998855324,1104
"10","NGO0002","SQ4",6958.84262964773,270.433214572987,1054.99998855324,1104
"11","NGO0002","SQ5",6296.1613222204,244.602333868162,1054.99998855324,1104
"12","NGO0002","SQ6",8758.82091416779,340.166247800155,1054.99998855324,1104
"13","NGO0003","SQ1",7448.71108098712,152.055718341425,2008.99998855324,2058
"14","NGO0003","SQ2",6979.4749383442,142.630636771229,2008.99998855324,2058
"15","NGO0003","SQ3",7960.72845404767,162.526468839715,2008.99998855324,2058
"16","NGO0003","SQ4",6432.21916388877,131.267244713739,2008.99998855324,2058
"17","NGO0003","SQ5",9086.33568817405,185.372816074858,2008.99998855324,2058
"18","NGO0003","SQ6",6800.44319706581,138.693245459773,2008.99998855324,2058
"19","NGO0004","SQ1",910.983717761807,94.583437546168,394.999988553241,444
"20","NGO0004","SQ2",1170.08319947708,121.615705583553,394.999988553241,444
"21","NGO0004","SQ3",886.980012293642,92.1017695001468,394.999988553241,444
"22","NGO0004","SQ4",1056.33563219686,109.642850229544,394.999988553241,444
"23","NGO0004","SQ5",1031.36802455787,107.017249348479,394.999988553241,444
"24","NGO0004","SQ6",1019.01232887483,105.701313288152,394.999988553241,444
"25","NGO0006","SQ1",35012.0507787861,554.823492518734,2587.99998855324,2637
"26","NGO0006","SQ2",31182.0038006985,494.663371610342,2587.99998855324,2637
